id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1374592,Vernonia lualabaensis,,5397326,258747-1,
1526005,Vernonia manongarivensis,,5702091,258797-1,
1439545,Vernonia marginata,Plains Ironweed,7407174,30177754-2,
1526007,Vernonia marojejyensis,,5702069,258806-1,
1526011,Vernonia mecistophylla,,5702051,258816-1,EN
1526013,Vernonia melanocoma,,5396601,935003-1,VU
1439546,Vernonia missurica,Missouri Ironweed,5397399,30038166-2,
1526025,Vernonia monantha,,5701968,258863-1,
1762212,Vernonia neoperrieriana,,5701894,258914-1,
1439547,Vernonia noveboracensis,New York ironweed; Vein leaf Hawkweed,5397534,258933-1,
1374617,Vernonia ochyrae,,5396755,996688-1,
1526049,Vernonia pachyclada,,5397148,258992-1,EN
1762214,Vernonia platylepis,,5397489,259084-1,NT
1526073,Vernonia polyantha,పెద్ద ముక్కు పుడక,5396651,259102-1,
1526074,Vernonia popeana,,5397348,934998-1,
1374473,Vernonia potamophila,,8316830,259117-1,
1526086,Vernonia pseudoappendiculata,,5701479,259146-1,
1526111,Vernonia retifolia,,5397449,259220-1,
1374647,Vernonia robinsonii,,5396803,259250-1,
1374648,Vernonia roseoviolacea,,5397019,259258-1,
1751241,Vernonia ruwenzoriensis,,5397457,259284-1,
1526139,Vernonia sakalava,,5701141,259288-1,
1526140,Vernonia sambiranensis,,5397269,259300-1,
1374653,Vernonia sapinii,,5397677,259308-1,
1374654,Vernonia scaettae,,5396896,259318-1,EN
1526152,Vernonia scoparia,,5396581,259348-1,
1526154,Vernonia sechellensis,,5396979,259351-1,EX
1526157,Vernonia sengana,,5396756,259367-1,VU
1526161,Vernonia seyrigii,,5700936,259380-1,
1526162,Vernonia shabaensis,,5397435,901230-1,
1526171,Vernonia speiracephala,,5397626,259414-1,
1526199,Vernonia syringifolia,,5397577,259499-1,
1526209,Vernonia texana,Texas ironweed,5397006,264617-2,
1374680,Vernonia timpermaniana,,5396765,932397-1,
1526224,Vernonia tropophila,,5700634,259570-1,
1751242,Vernonia verdickii,,5396690,259627-1,
1526251,Vernonia vohemarensis,,5700506,259660-1,
1526268,Vernoniastrum aemulans,,3125070,1010925-1,
1526269,Vernoniastrum ambiguum,,3124518,1010926-1,
1526270,Vernoniastrum camporum,,4237189,77092304-1,
1526272,Vernoniastrum latifolium,,3125229,1010927-1,
1526273,Vernoniastrum migeodii,,4237172,77092302-1,
1526312,Vernoniopsis caudata,,3127450,259701-1,LC
1526313,Vernoniopsis lokohensis,,7923968,77117093-1,
1847654,Veronica × andersonii,Anderson's Hebe; Anderson's Cultivated Speedwell,12365270,811614-1,
1738697,Veronica × franciscana,Hebe; Shrubby Veronica; Florist's Hebe; Garden Hebe; Hedge veronica,3172025,317812-2,
1891334,Veronica × sooana,,3725991,812671-1,
1373167,Veronica abyssinica,Abyssinian speedwell,3738291,811562-1,
1362973,Veronica acinifolia,French speedwell,8019690,811565-1,
1364061,Veronica agrestis,Green field speedwell; Field speedwell; Procumbent speedwell; Garden speedwell; Corn Speedwell,3172082,326368-2,
1419955,Veronica albicans,Veronica recurva,3734757,811585-1,
1397042,Veronica allionii,Allioni's Speedwell; Alpine Speedwell,8285586,811591-1,
1397043,Veronica alpina,Alpine speedwell; Mountain Speedwell,3172050,811595-1,
1414175,Veronica americana,American speedwell; American brooklime; Speedwell; Neckweed; Purslane speedwell; Wandering speedwell,3172084,,LC
1364062,Veronica anagallis-aquatica,Blue water speedwell; Water speedwell; Brook pimpernel; Water pimpernel; Brook Speedwell,3172086,811610-1,LC
1359977,Veronica anagalloides,Faded speedwell,7332572,811612-1,LC
1858330,Veronica annulata,,7923758,811625-1,
1397045,Veronica aphylla,Leafless stemmed Speedwell; Blattloser Ehrenpreis; Largeflower Speedwell; Naked stalked Speedwell,3734339,811628-1,
